./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  2.0724509e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       323          2          6'759 0.99983200
       324          2          6'778 0.99983300
       325          1          6'814 0.99983350
       326          1          6'815 0.99983400
       327          1          6'833 0.99983450
       328          2          6'851 0.99983550
       329          1          6'870 0.99983600
       330          1          6'871 0.99983650
       331          1          6'888 0.99983700
       332          1          6'889 0.99983750
       333          2          6'907 0.99983850
       334          1          6'908 0.99983900
       335          1          6'925 0.99983950
       336          2          6'945 0.99984050
       337          1          6'963 0.99984100
       338          4          6'981 0.99984300
       339          3          7'000 0.99984450
       340          1          7'018 0.99984500
       341          4          7'037 0.99984700
       342          1          7'055 0.99984750
       343          4          7'074 0.99984950
       344          3          7'092 0.99985100
       345          2          7'093 0.99985200
       346          3          7'111 0.99985350
       347          3          7'129 0.99985500
       348          1          7'130 0.99985550
       349          4          7'148 0.99985750
       350          2          7'166 0.99985850
       351          3          7'167 0.99986000
       352          2          7'185 0.99986100
       353          1          7'203 0.99986150
       354          4          7'204 0.99986350
       355          3          7'222 0.99986500
       356          2          7'240 0.99986600
       357          3          7'241 0.99986750
       358          3          7'259 0.99986900
       359          1          7'277 0.99986950
       360          6          7'278 0.99987250
       361          2          7'296 0.99987350
       362          2          7'297 0.99987450
       363          5          7'314 0.99987700
       364          7          7'315 0.99988050
       365          5          7'333 0.99988300
       366          4          7'352 0.99988500
       367          4          7'370 0.99988700
       368          1          7'371 0.99988750
       369          1          7'388 0.99988800
       370          4          7'389 0.99989000
       371          3          7'407 0.99989150
       372          1          7'408 0.99989200
       373          2          7'425 0.99989300
       374          3          7'426 0.99989450
       375          4          7'444 0.99989650
       376          1          7'445 0.99989700
       377          2          7'463 0.99989800
