./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.7089961e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       265          8          5'315 0.99977250
       266          3          5'333 0.99977400
       267          3          5'334 0.99977550
       268          1          5'351 0.99977600
       269         10          5'352 0.99978100
       270          1          5'370 0.99978150
       271          4          5'389 0.99978350
       272          8          5'407 0.99978750
       273          2          5'408 0.99978850
       274          8          5'426 0.99979250
       275          4          5'444 0.99979450
       276          1          5'445 0.99979500
       277          4          5'463 0.99979700
       278          3          5'481 0.99979850
       279          1          5'482 0.99979900
       280          1          5'518 0.99979950
       281          1          5'556 0.99980000
       282          2          5'574 0.99980100
       283          4          5'593 0.99980300
       284          1          5'611 0.99980350
       285          1          5'630 0.99980400
       286          3          5'648 0.99980550
       287          1          5'666 0.99980600
       288          2          5'685 0.99980700
       289          1          5'704 0.99980750
       290          3          5'722 0.99980900
       291          1          5'759 0.99980950
       292          1          5'760 0.99981000
       293          1          5'777 0.99981050
       294          1          5'796 0.99981100
       295          1          5'814 0.99981150
       296          1          5'851 0.99981200
       297          1          5'870 0.99981250
       298          2          5'889 0.99981350
       299          1          5'926 0.99981400
       300          1          5'944 0.99981450
       301          1          6'000 0.99981500
       302          2          6'019 0.99981600
       303          1          6'037 0.99981650
       304          1          6'055 0.99981700
       305          1          6'074 0.99981750
       306          2          6'092 0.99981850
       307          1          6'093 0.99981900
       308          3          6'129 0.99982050
       309          1          6'130 0.99982100
       310          1          6'166 0.99982150
       311          2          6'167 0.99982250
       312          2          6'185 0.99982350
       313          1          6'203 0.99982400
       314          4          6'204 0.99982600
       315          1          6'222 0.99982650
       316          1          6'240 0.99982700
       317          3          6'241 0.99982850
       318          2          6'259 0.99982950
       319          2          6'260 0.99983050
       320          1          6'277 0.99983100
       321          3          6'278 0.99983250
       322          4          6'296 0.99983450
       323          3          6'314 0.99983600
       324          1          6'315 0.99983650
       325          5          6'333 0.99983900
       326          2          6'334 0.99984000
       327          2          6'352 0.99984100
       328          5          6'370 0.99984350
       329          4          6'371 0.99984550
       330          1          6'388 0.99984600
       331          2          6'389 0.99984700
       332          2          6'407 0.99984800
       333          1          6'408 0.99984850
       334          1          6'425 0.99984900
       335          2          6'444 0.99985000
       336          1          6'445 0.99985050
       337          3          6'463 0.99985200
       338          3          6'481 0.99985350
       339          2          6'482 0.99985450
       340          3          6'500 0.99985600
       341          3          6'518 0.99985750
       342          2          6'519 0.99985850
       343          2          6'537 0.99985950
       344          1          6'555 0.99986000
       345          1          6'556 0.99986050
       346          4          6'574 0.99986250
       347          2          6'592 0.99986350
       348          2          6'593 0.99986450
       349          2          6'611 0.99986550
       350          1          6'630 0.99986600
       351          2          6'648 0.99986700
       352          1          6'667 0.99986750
       353          4          6'685 0.99986950
       354          1          6'722 0.99987000
       355          1          6'740 0.99987050
       356          3          6'741 0.99987200
       357          2          6'759 0.99987300
       358          1          6'777 0.99987350
       359          2          6'778 0.99987450
       360          1          6'797 0.99987500
       361          1          6'815 0.99987550
       362          1          6'851 0.99987600
       363          1          6'852 0.99987650
       364          1          6'870 0.99987700
       365          2          6'889 0.99987800
       366          2          6'907 0.99987900
       367          2          6'926 0.99988000
       368          2          6'944 0.99988100
