./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-ubuntu_20_04_1_64bit-g++_9_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.1478695e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       273          2          6'482 0.99991650
       274          5          6'500 0.99991900
       275          1          6'518 0.99991950
       276          4          6'519 0.99992150
       277          5          6'537 0.99992400
       278          1          6'556 0.99992450
       279          1          6'574 0.99992500
       280          2          6'592 0.99992600
       281          2          6'593 0.99992700
       282          3          6'611 0.99992850
       283          1          6'629 0.99992900
       284          1          6'630 0.99992950
       285          2          6'648 0.99993050
       286          1          6'666 0.99993100
       287          3          6'667 0.99993250
       288          1          6'703 0.99993300
       289          1          6'704 0.99993350
       290          3          6'722 0.99993500
       291          1          6'759 0.99993550
       292          1          6'778 0.99993600
       293          2          6'796 0.99993700
       294          3          6'797 0.99993850
       295          1          6'815 0.99993900
       296          2          6'834 0.99994000
       297          1          6'851 0.99994050
       298          1          6'870 0.99994100
       299          1          6'871 0.99994150
       300          3          6'926 0.99994300
       301          1          6'963 0.99994350
       302          1          7'019 0.99994400
       303          1          7'074 0.99994450
       304          2          7'111 0.99994550
       305          1          7'130 0.99994600
       306          1          7'148 0.99994650
       307          1          7'222 0.99994700
       308          1          7'297 0.99994750
       309          1          7'703 0.99994800
       310          1          7'796 0.99994850
       311          1          7'889 0.99994900
       312          2          7'926 0.99995000
       313          1          8'185 0.99995050
       314          1          8'259 0.99995100
       315          1          8'444 0.99995150
       316          2          8'500 0.99995250
       317          1          8'574 0.99995300
       318          2          8'759 0.99995400
       319          1          8'796 0.99995450
       320          2          8'852 0.99995550
       321          1          8'871 0.99995600
       322          1          8'926 0.99995650
       323          1          8'962 0.99995700
       324          1          9'018 0.99995750
       325          1          9'037 0.99995800
       326          2          9'111 0.99995900
       327          1          9'186 0.99995950
       328          1          9'203 0.99996000
       329          1          9'222 0.99996050
       330          1          9'333 0.99996100
       331          1          9'370 0.99996150
       332          1          9'426 0.99996200
       333          1          9'463 0.99996250
       334          1          9'481 0.99996300
       335          1          9'537 0.99996350
       336          1          9'593 0.99996400
       337          2          9'685 0.99996500
       338          1          9'834 0.99996550
       339          1          9'944 0.99996600
       340          1         10'000 0.99996650
       341          1         10'018 0.99996700
       342          1         10'093 0.99996750
       343          1         10'166 0.99996800
       344          1         10'185 0.99996850
       345          1         10'222 0.99996900
       346          1         10'407 0.99996950
       347          1         10'425 0.99997000
       348          1         10'426 0.99997050
       349          1         10'500 0.99997100
       350          1         10'518 0.99997150
       351          1         10'536 0.99997200
       352          1         10'555 0.99997250
       353          1         10'611 0.99997300
       354          1         10'667 0.99997350
       355          1         10'759 0.99997400
       356          1         10'796 0.99997450
       357          2         10'797 0.99997550
       358          1         10'833 0.99997600
       359          1         10'944 0.99997650
       360          1         11'018 0.99997700
       361          2         11'037 0.99997800
       362          1         11'110 0.99997850
       363          1         11'129 0.99997900
       364          1         11'241 0.99997950
       365          1         11'444 0.99998000
       366          1         11'463 0.99998050
       367          1         11'574 0.99998100
       368          1         11'648 0.99998150
       369          1         11'685 0.99998200
       370          1         11'704 0.99998250
       371          1         11'926 0.99998300
       372          1         11'944 0.99998350
       373          1         12'055 0.99998400
       374          1         12'129 0.99998450
       375          1         12'371 0.99998500
       376          1         12'426 0.99998550
       377          1         12'518 0.99998600
       378          1         12'537 0.99998650
       379          1         12'556 0.99998700
       380          1         12'592 0.99998750
       381          1         12'648 0.99998800
       382          1         12'833 0.99998850
       383          1         12'963 0.99998900
       384          1         13'129 0.99998950
       385          1         13'333 0.99999000
       386          1         13'518 0.99999050
       387          1         13'833 0.99999100
       388          1         13'851 0.99999150
       389          1         13'907 0.99999200
       390          1         14'203 0.99999250
       391          1         14'259 0.99999300
       392          1         14'296 0.99999350
       393          1         14'481 0.99999400
       394          1         14'741 0.99999450
       395          1         14'833 0.99999500
       396          1         15'499 0.99999550
       397          1         15'814 0.99999600
       398          1         15'834 0.99999650
       399          1         16'019 0.99999700
       400          1         16'519 0.99999750
       401          1         17'222 0.99999800
       402          1         18'314 0.99999850
