./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-NetBSD_10_64bit-g++_8_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  7.5893563e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            333 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'567 ns

Other information for reference:

small scale duration variability     :             19 ns
       249          5          6'834 0.99954100
       250          3          6'851 0.99954250
       251         13          6'852 0.99954900
       252          8          6'870 0.99955300
       253          6          6'871 0.99955600
       254          2          6'888 0.99955700
       255         11          6'889 0.99956250
       256          6          6'907 0.99956550
       257          4          6'908 0.99956750
       258          2          6'926 0.99956850
       259          3          6'944 0.99957000
       260          3          6'945 0.99957150
       261          4          6'962 0.99957350
       262          3          6'963 0.99957500
       263          2          6'999 0.99957600
       264          3          7'000 0.99957750
       265          4          7'018 0.99957950
       266          2          7'019 0.99958050
       267          5          7'037 0.99958300
       268          1          7'055 0.99958350
       269          2          7'056 0.99958450
       270          2          7'074 0.99958550
       271          1          7'075 0.99958600
       272          6          7'092 0.99958900
       273          3          7'093 0.99959050
       274          4          7'111 0.99959250
       275          2          7'129 0.99959350
       276          1          7'130 0.99959400
       277          1          7'148 0.99959450
       278          1          7'166 0.99959500
       279          3          7'167 0.99959650
       280          3          7'185 0.99959800
       281          2          7'203 0.99959900
       282          1          7'204 0.99959950
       283          1          7'222 0.99960000
       284          2          7'241 0.99960100
       285          2          7'260 0.99960200
       286          1          7'278 0.99960250
       287          3          7'296 0.99960400
       288          1          7'333 0.99960450
       289          1          7'352 0.99960500
       290          1          7'370 0.99960550
       291          1          7'389 0.99960600
       292          3          7'407 0.99960750
       293          1          7'408 0.99960800
       294          1          7'426 0.99960850
       295          1          7'463 0.99960900
       296          1          7'481 0.99960950
       297          1          7'500 0.99961000
       298          1          7'555 0.99961050
       299          1          7'574 0.99961100
       300          1          7'611 0.99961150
       301          1          7'629 0.99961200
       302          1          7'630 0.99961250
       303          3          7'648 0.99961400
       304          3          7'666 0.99961550
       305          3          7'667 0.99961700
       306          3          7'685 0.99961850
       307          1          7'686 0.99961900
       308          4          7'704 0.99962100
       309          4          7'722 0.99962300
       310          6          7'741 0.99962600
       311          3          7'759 0.99962750
       312          1          7'777 0.99962800
       313          3          7'778 0.99962950
       314         11          7'796 0.99963500
       315          2          7'797 0.99963600
       316          1          7'814 0.99963650
       317          5          7'815 0.99963900
       318          6          7'833 0.99964200
       319          5          7'834 0.99964450
       320          1          7'851 0.99964500
       321          3          7'852 0.99964650
       322          9          7'870 0.99965100
       323          1          7'871 0.99965150
       324          3          7'888 0.99965300
