./cpp_clockinfo_main-2018macMiniVM-49152MiB-threads_11-LP64-Fedora_37_64bit-g++_12_O3lto-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.25


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 65'229'257'859'195 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 15 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 900 ns
(with min duration still included)

target with min duration subtracted  : 885 ns

Other information for reference:

small scale duration variability     : 9 ns

largest observed duration            : 79'249 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

       390          4          1'240 0.99938050
       391          3          1'241 0.99938200
       392          4          1'242 0.99938400
       393          4          1'243 0.99938600
       394          4          1'244 0.99938800
       395          5          1'245 0.99939050
       396          3          1'246 0.99939200
       397          3          1'247 0.99939350
       398          3          1'248 0.99939500
       399          2          1'249 0.99939600
       400          4          1'250 0.99939800
       401          1          1'251 0.99939850
       402          3          1'252 0.99940000
       403          1          1'253 0.99940050
       404          5          1'254 0.99940300
       405          2          1'255 0.99940400
       406          2          1'257 0.99940500
       407          4          1'258 0.99940700
       408          8          1'259 0.99941100
       409          2          1'260 0.99941200
       410          5          1'262 0.99941450
       411          7          1'263 0.99941800
       412          3          1'264 0.99941950
       413          3          1'265 0.99942100
       414          4          1'266 0.99942300
       415          3          1'267 0.99942450
       416          2          1'268 0.99942550
       417          6          1'269 0.99942850
       418          2          1'270 0.99942950
       419          4          1'271 0.99943150
       420          5          1'272 0.99943400
       421          4          1'273 0.99943600
       422          4          1'274 0.99943800
       423          1          1'275 0.99943850
       424          1          1'276 0.99943900
       425          1          1'278 0.99943950
       426          3          1'279 0.99944100
       427          5          1'280 0.99944350
       428          4          1'282 0.99944550
       429          4          1'283 0.99944750
       430          1          1'284 0.99944800
       431          4          1'285 0.99945000
       432          5          1'286 0.99945250
       433          1          1'287 0.99945300
       434          2          1'288 0.99945400
       435          1          1'289 0.99945450
       436          2          1'290 0.99945550
       437          1          1'291 0.99945600
       438          1          1'292 0.99945650
       439          3          1'293 0.99945800
       440          4          1'294 0.99946000
       441          3          1'295 0.99946150
       442          4          1'296 0.99946350
       443          9          1'297 0.99946800
       444          1          1'298 0.99946850
       445          2          1'299 0.99946950
       446          2          1'300 0.99947050
       447          3          1'302 0.99947200
       448          2          1'304 0.99947300
       449          1          1'305 0.99947350
       450          4          1'306 0.99947550
       451          2          1'307 0.99947650
       452          3          1'308 0.99947800
       453          1          1'309 0.99947850
       454          4          1'310 0.99948050
       455          1          1'311 0.99948100
       456          2          1'312 0.99948200
       457          1          1'313 0.99948250
       458          1          1'314 0.99948300
       459          1          1'315 0.99948350
       460          1          1'316 0.99948400
       461          1          1'317 0.99948450
       462          5          1'318 0.99948700
       463          1          1'319 0.99948750
       464          2          1'320 0.99948850
       465          3          1'321 0.99949000
       466          2          1'323 0.99949100
       467          5          1'325 0.99949350
       468          1          1'326 0.99949400
       469          1          1'327 0.99949450
       470          4          1'328 0.99949650
       471          2          1'329 0.99949750
       472          1          1'331 0.99949800
       473          3          1'332 0.99949950
       474          4          1'333 0.99950150
       475          1          1'334 0.99950200
       476          4          1'335 0.99950400
       477          3          1'336 0.99950550
       478          4          1'339 0.99950750
       479          2          1'340 0.99950850
       480          1          1'341 0.99950900
       481          2          1'342 0.99951000
       482          1          1'343 0.99951050
       483          1          1'344 0.99951100
       484          2          1'345 0.99951200
       485          1          1'346 0.99951250
       486          2          1'347 0.99951350
       487          3          1'349 0.99951500
       488          1          1'350 0.99951550
       489          2          1'351 0.99951650
       490          2          1'352 0.99951750
       491          2          1'353 0.99951850
       492          1          1'354 0.99951900
       493          2          1'355 0.99952000
       494          1          1'356 0.99952050
       495          1          1'359 0.99952100
       496          1          1'360 0.99952150
       497          1          1'362 0.99952200
       498          3          1'363 0.99952350
       499          2          1'365 0.99952450
       500          2          1'366 0.99952550
       501          1          1'371 0.99952600
       502          1          1'372 0.99952650
       503          2          1'373 0.99952750
       504          2          1'374 0.99952850
       505          4          1'375 0.99953050
       506          1          1'377 0.99953100
       507          1          1'378 0.99953150
       508          2          1'379 0.99953250
       509          4          1'380 0.99953450
       510          3          1'382 0.99953600
       511          3          1'383 0.99953750
       512          1          1'384 0.99953800
       513          2          1'385 0.99953900
       514          2          1'388 0.99954000
       515          2          1'389 0.99954100
       516          2          1'390 0.99954200
       517          2          1'392 0.99954300
       518          3          1'393 0.99954450
       519          2          1'394 0.99954550
       520          1          1'395 0.99954600
       521          3          1'396 0.99954750
       522          1          1'397 0.99954800
       523          1          1'398 0.99954850
       524          2          1'399 0.99954950
       525          2          1'400 0.99955050
       526          2          1'401 0.99955150
       527          1          1'402 0.99955200
       528          1          1'404 0.99955250
       529          1          1'405 0.99955300
       530          2          1'406 0.99955400
       531          1          1'407 0.99955450
       532          1          1'409 0.99955500
       533          2          1'410 0.99955600
       534          1          1'411 0.99955650
       535          1          1'416 0.99955700
       536          2          1'417 0.99955800
       537          1          1'419 0.99955850
       538          1          1'420 0.99955900
       539          4          1'421 0.99956100
       540          1          1'422 0.99956150
       541          2          1'423 0.99956250
       542          1          1'424 0.99956300
       543          1          1'425 0.99956350
       544          2          1'426 0.99956450
       545          1          1'427 0.99956500
       546          3          1'430 0.99956650
       547          1          1'432 0.99956700
       548          2          1'433 0.99956800
       549          1          1'434 0.99956850
       550          1          1'435 0.99956900
       551          1          1'436 0.99956950
       552          2          1'437 0.99957050
       553          2          1'438 0.99957150
       554          2          1'439 0.99957250
       555          2          1'441 0.99957350
       556          1          1'443 0.99957400
       557          2          1'444 0.99957500
       558          1          1'445 0.99957550
       559          3          1'449 0.99957700
       560          1          1'451 0.99957750
       561          1          1'454 0.99957800
       562          1          1'455 0.99957850
       563          1          1'459 0.99957900
       564          1          1'460 0.99957950
       565          3          1'461 0.99958100
       566          1          1'463 0.99958150
       567          1          1'465 0.99958200
       568          1          1'466 0.99958250
       569          1          1'467 0.99958300
       570          1          1'468 0.99958350
       571          1          1'469 0.99958400
       572          1          1'470 0.99958450
       573          1          1'471 0.99958500
       574          1          1'481 0.99958550
       575          2          1'487 0.99958650
       576          1          1'493 0.99958700
       577          1          1'494 0.99958750
       578          2          1'495 0.99958850
       579          1          1'497 0.99958900
       580          1          1'501 0.99958950
       581          2          1'502 0.99959050
       582          1          1'503 0.99959100
       583          1          1'506 0.99959150
       584          1          1'507 0.99959200
       585          1          1'511 0.99959250
       586          2          1'512 0.99959350
       587          1          1'513 0.99959400
       588          1          1'516 0.99959450
       589          1          1'517 0.99959500
       590          1          1'525 0.99959550
       591          1          1'528 0.99959600
       592          3          1'529 0.99959750
       593          1          1'530 0.99959800
       594          1          1'533 0.99959850
       595          1          1'534 0.99959900
       596          1          1'538 0.99959950
       597          1          1'542 0.99960000
       598          2          1'545 0.99960100
       599          1          1'556 0.99960150
       600          1          1'558 0.99960200
       601          2          1'572 0.99960300
       602          1          1'576 0.99960350
       603          1          1'580 0.99960400
       604          2          1'582 0.99960500
       605          1          1'586 0.99960550
       606          1          1'587 0.99960600
       607          1          1'602 0.99960650
       608          1          1'603 0.99960700
       609          1          1'608 0.99960750
       610          1          1'616 0.99960800
       611          1          1'619 0.99960850
       612          1          1'622 0.99960900
       613          1          1'625 0.99960950
       614          1          1'627 0.99961000
       615          1          1'628 0.99961050
       616          1          1'631 0.99961100
       617          1          1'641 0.99961150
       618          2          1'642 0.99961250
       619          1          1'652 0.99961300
       620          1          1'653 0.99961350
       621          1          1'657 0.99961400
       622          2          1'661 0.99961500
       623          1          1'664 0.99961550
       624          1          1'666 0.99961600
       625          1          1'678 0.99961650
       626          1          1'680 0.99961700
       627          1          1'690 0.99961750
       628          1          1'700 0.99961800
       629          1          1'709 0.99961850
       630          1          1'715 0.99961900
       631          1          1'716 0.99961950
       632          1          1'737 0.99962000
       633          1          1'751 0.99962050
       634          1          1'755 0.99962100
       635          1          1'764 0.99962150
       636          1          1'769 0.99962200
       637          1          1'773 0.99962250
       638          1          1'791 0.99962300
       639          1          1'795 0.99962350
       640          1          1'802 0.99962400
       641          1          1'803 0.99962450
       642          1          1'807 0.99962500
       643          1          1'810 0.99962550
       644          1          1'812 0.99962600
       645          1          1'821 0.99962650
       646          1          1'822 0.99962700
       647          1          1'824 0.99962750
       648          1          1'844 0.99962800
       649          2          1'845 0.99962900
       650          1          1'850 0.99962950
       651          1          1'851 0.99963000
       652          1          1'860 0.99963050
       653          2          1'862 0.99963150
       654          2          1'867 0.99963250
       655          1          1'875 0.99963300
       656          2          1'881 0.99963400
       657          1          1'887 0.99963450
       658          1          1'902 0.99963500
       659          1          1'905 0.99963550
       660          1          1'915 0.99963600
       661          1          1'916 0.99963650
       662          1          1'919 0.99963700
       663          2          1'922 0.99963800
       664          2          1'927 0.99963900
       665          1          1'929 0.99963950
       666          2          1'939 0.99964050
       667          1          1'940 0.99964100
       668          1          1'943 0.99964150
       669          1          1'947 0.99964200
       670          1          1'948 0.99964250
       671          1          1'949 0.99964300
       672          1          1'950 0.99964350
       673          1          1'951 0.99964400
       674          1          1'952 0.99964450
       675          2          1'954 0.99964550
       676          3          1'955 0.99964700
       677          3          1'957 0.99964850
       678          1          1'960 0.99964900
       679          1          1'964 0.99964950
       680          1          1'966 0.99965000
       681          2          1'970 0.99965100
       682          2          1'971 0.99965200
       683          2          1'972 0.99965300
       684          4          1'973 0.99965500
       685          2          1'976 0.99965600
       686          3          1'977 0.99965750
       687          1          1'979 0.99965800
       688          2          1'980 0.99965900
       689          3          1'981 0.99966050
       690          1          1'982 0.99966100
       691          3          1'983 0.99966250
       692          2          1'984 0.99966350
       693          2          1'985 0.99966450
       694          1          1'986 0.99966500
       695          3          1'987 0.99966650
       696          3          1'990 0.99966800
       697          1          1'993 0.99966850
       698          2          1'994 0.99966950
       699          2          1'995 0.99967050
       700          2          1'996 0.99967150
       701          2          1'998 0.99967250
       702          1          1'999 0.99967300
       703          1          2'000 0.99967350
       704          2          2'001 0.99967450
       705          1          2'002 0.99967500
       706          1          2'004 0.99967550
       707          1          2'005 0.99967600
       708          1          2'006 0.99967650
       709          1          2'007 0.99967700
       710          2          2'008 0.99967800
       711          3          2'011 0.99967950
       712          1          2'013 0.99968000
       713          1          2'014 0.99968050
       714          2          2'017 0.99968150
       715          3          2'018 0.99968300
       716          1          2'022 0.99968350
       717          1          2'023 0.99968400
       718          3          2'026 0.99968550
       719          3          2'027 0.99968700
       720          2          2'030 0.99968800
       721          2          2'031 0.99968900
       722          1          2'032 0.99968950
       723          3          2'033 0.99969100
       724          1          2'034 0.99969150
       725          2          2'035 0.99969250
       726          2          2'037 0.99969350
       727          1          2'039 0.99969400
       728          1          2'041 0.99969450
       729          1          2'042 0.99969500
       730          1          2'043 0.99969550
       731          2          2'044 0.99969650
       732          2          2'045 0.99969750
       733          1          2'048 0.99969800
       734          2          2'050 0.99969900
       735          1          2'052 0.99969950
       736          1          2'055 0.99970000
       737          2          2'058 0.99970100
       738          1          2'059 0.99970150
       739          2          2'060 0.99970250
       740          1          2'062 0.99970300
       741          1          2'063 0.99970350
       742          1          2'065 0.99970400
       743          1          2'067 0.99970450
       744          1          2'069 0.99970500
       745          1          2'070 0.99970550
       746          1          2'071 0.99970600
       747          2          2'072 0.99970700
       748          2          2'075 0.99970800
       749          2          2'077 0.99970900
       750          1          2'078 0.99970950
       751          2          2'081 0.99971050
       752          1          2'082 0.99971100
       753          1          2'085 0.99971150
       754          1          2'086 0.99971200
       755          1          2'087 0.99971250
       756          1          2'088 0.99971300
       757          1          2'089 0.99971350
       758          1          2'095 0.99971400
       759          1          2'097 0.99971450
       760          1          2'102 0.99971500
       761          1          2'106 0.99971550
       762          1          2'110 0.99971600
       763          1          2'111 0.99971650
       764          1          2'112 0.99971700
       765          3          2'113 0.99971850
       766          1          2'114 0.99971900
       767          1          2'116 0.99971950
       768          1          2'117 0.99972000
       769          1          2'118 0.99972050
       770          1          2'119 0.99972100
       771          1          2'122 0.99972150
       772          1          2'126 0.99972200
       773          1          2'127 0.99972250
       774          1          2'128 0.99972300
       775          2          2'129 0.99972400
       776          1          2'130 0.99972450
       777          1          2'131 0.99972500
       778          2          2'133 0.99972600
       779          2          2'134 0.99972700
       780          1          2'137 0.99972750
       781          2          2'138 0.99972850
       782          1          2'139 0.99972900
       783          1          2'143 0.99972950
