./cpp_clockinfo_main-ThreadRipper1950X-131072MiB-threads_32-LP64-Fedora_32-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.5810525e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             20 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            980 ns

Other information for reference:

small scale duration variability     :             10 ns
       376          2          2'986 0.99994850
       377          1          3'006 0.99994900
       378          2          3'036 0.99995000
       379          1          3'065 0.99995050
       380          1          3'066 0.99995100
       381          1          3'075 0.99995150
       382          2          3'076 0.99995250
       383          1          3'086 0.99995300
       384          2          3'106 0.99995400
       385          1          3'116 0.99995450
       386          2          3'126 0.99995550
       387          2          3'186 0.99995650
       388          1          3'196 0.99995700
       389          1          3'206 0.99995750
       390          2          3'226 0.99995850
       391          2          3'236 0.99995950
       392          1          3'296 0.99996000
       393          1          3'346 0.99996050
       394          1          3'377 0.99996100
       395          1          3'387 0.99996150
       396          1          3'417 0.99996200
       397          1          3'436 0.99996250
       398          1          3'457 0.99996300
       399          1          3'557 0.99996350
       400          1          3'667 0.99996400
       401          1          3'857 0.99996450
       402          1          4'358 0.99996500
       403          1          4'528 0.99996550
       404          1          4'939 0.99996600
       405          1          4'949 0.99996650
       406          1          4'970 0.99996700
       407          1          5'451 0.99996750
       408          1          5'981 0.99996800
       409          1          6'042 0.99996850
       410          1          6'272 0.99996900
       411          1          6'382 0.99996950
       412          1          6'422 0.99997000
       413          1          6'462 0.99997050
       414          1          6'553 0.99997100
       415          1          6'563 0.99997150
       416          1          6'803 0.99997200
       417          1          6'823 0.99997250
       418          1          6'853 0.99997300
       419          1          6'963 0.99997350
       420          2          6'993 0.99997450
       421          1          7'675 0.99997500
       422          1          7'905 0.99997550
       423          1          7'965 0.99997600
       424          1          7'975 0.99997650
       425          1          8'076 0.99997700
       426          1          8'246 0.99997750
       427          1          8'386 0.99997800
       428          1          8'747 0.99997850
       429          1          8'867 0.99997900
       430          1          8'997 0.99997950
       431          1          9'017 0.99998000
       432          1          9'037 0.99998050
       433          1          9'107 0.99998100
       434          1          9'108 0.99998150
       435          1          9'158 0.99998200
       436          1          9'408 0.99998250
       437          1          9'418 0.99998300
       438          1          9'428 0.99998350
       439          2          9'438 0.99998450
       440          1          9'468 0.99998500
       441          1          9'488 0.99998550
