./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-FreeBSD_main_n247756_348c41d1815d_64bit-g++_11_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 390'612'495'867 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 1'900 ns
(with min duration still included)

target with min duration subtracted  : 1'845 ns

Other information for reference:

small scale duration variability     : 19 ns

largest observed duration            : 53'870 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

       267          3          4'815 0.99994450
       268          5          4'833 0.99994700
       269          1          4'834 0.99994750
       270          1          4'851 0.99994800
       271          6          4'852 0.99995100
       272          1          4'870 0.99995150
       273          1          4'871 0.99995200
       274          2          4'888 0.99995300
       275          5          4'889 0.99995550
       276          3          4'907 0.99995700
       277          1          4'908 0.99995750
       278          1          4'925 0.99995800
       279          4          4'926 0.99996000
       280          2          4'944 0.99996100
       281          5          4'963 0.99996350
       282          1          4'981 0.99996400
       283          1          5'000 0.99996450
       284          1          5'018 0.99996500
       285          1          5'019 0.99996550
       286          2          5'055 0.99996650
       287          4          5'056 0.99996850
       288          1          5'074 0.99996900
       289          1          5'130 0.99996950
       290          1          5'148 0.99997000
       291          1          5'166 0.99997050
       292          1          5'278 0.99997100
       293          1          5'296 0.99997150
       294          1          5'315 0.99997200
       295          1          5'370 0.99997250
       296          1          5'389 0.99997300
       297          1          5'407 0.99997350
       298          1          5'425 0.99997400
       299          1          5'444 0.99997450
       300          1          5'482 0.99997500
       301          2          5'500 0.99997600
       302          1          5'556 0.99997650
       303          1          5'574 0.99997700
       304          1          5'630 0.99997750
       305          3          5'648 0.99997900
       306          1          5'741 0.99997950
       307          1          5'814 0.99998000
       308          2          5'833 0.99998100
       309          1          6'093 0.99998150
