./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_main_n247756_348c41d1815d_32bit-g++_11_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.9800668e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns
       239         13          9'917 0.99904550
       240         35          9'958 0.99906300
       241          9          9'999 0.99906750
       242         24         10'000 0.99907950
       243         18         10'041 0.99908850
       244         15         10'042 0.99909600
       245          4         10'082 0.99909800
       246         20         10'083 0.99910800
       247         15         10'124 0.99911550
       248         23         10'125 0.99912700
       249         26         10'166 0.99914000
       250         13         10'167 0.99914650
       251         20         10'208 0.99915650
       252         14         10'249 0.99916350
       253         15         10'250 0.99917100
       254         21         10'291 0.99918150
       255          6         10'292 0.99918450
       256         22         10'333 0.99919550
       257          1         10'334 0.99919600
       258         17         10'374 0.99920450
       259         19         10'375 0.99921400
       260         14         10'416 0.99922100
       261          6         10'417 0.99922400
       262          5         10'457 0.99922650
       263         23         10'458 0.99923800
       264          5         10'499 0.99924050
       265          8         10'500 0.99924450
       266         17         10'541 0.99925300
       267          9         10'542 0.99925750
       268         23         10'583 0.99926900
       269         11         10'624 0.99927450
       270         12         10'625 0.99928050
       271         17         10'666 0.99928900
       272          5         10'667 0.99929150
       273          2         10'707 0.99929250
       274         18         10'708 0.99930150
       275          4         10'749 0.99930350
       276         12         10'750 0.99930950
       277         15         10'791 0.99931700
       278          5         10'792 0.99931950
       279          1         10'832 0.99932000
       280          8         10'833 0.99932400
       281          3         10'874 0.99932550
       282          9         10'875 0.99933000
       283          8         10'916 0.99933400
       284          3         10'917 0.99933550
       285          1         10'957 0.99933600
       286         10         10'958 0.99934100
       287          3         10'999 0.99934250
       288          6         11'000 0.99934550
       289         10         11'041 0.99935050
       290          4         11'042 0.99935250
       291          3         11'082 0.99935400
       292         10         11'083 0.99935900
       293          5         11'124 0.99936150
       294          8         11'125 0.99936550
       295          4         11'166 0.99936750
       296          2         11'167 0.99936850
       297          3         11'207 0.99937000
       298          9         11'208 0.99937450
       299          3         11'249 0.99937600
       300          4         11'250 0.99937800
