./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_13_r363590M-g++_10_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  5.5173558e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :            200 ns
(with min duration still included)

target with min duration subtracted  :            -49 ns

Other information for reference:

small scale duration variability     :              2 ns
       398          3         14'000 0.99980250
       399          9         14'041 0.99980700
       400          1         14'042 0.99980750
       401          1         14'083 0.99980800
       402          2         14'125 0.99980900
       403          6         14'166 0.99981200
       404          1         14'167 0.99981250
       405          3         14'208 0.99981400
       406          2         14'249 0.99981500
       407          7         14'250 0.99981850
       408          5         14'291 0.99982100
       409          1         14'292 0.99982150
       410          6         14'333 0.99982450
       411          1         14'374 0.99982500
       412          3         14'375 0.99982650
       413          7         14'416 0.99983000
       414          1         14'457 0.99983050
       415          4         14'458 0.99983250
       416          2         14'499 0.99983350
       417          5         14'541 0.99983600
       418          1         14'542 0.99983650
       419          4         14'583 0.99983850
       420          1         14'624 0.99983900
       421          5         14'625 0.99984150
       422          7         14'666 0.99984500
       423          1         14'707 0.99984550
       424          4         14'708 0.99984750
       425          1         14'749 0.99984800
       426          2         14'750 0.99984900
       427          3         14'791 0.99985050
       428          1         14'792 0.99985100
       429          6         14'833 0.99985400
       430          3         14'874 0.99985550
       431          3         14'875 0.99985700
       432          3         14'916 0.99985850
       433          1         14'917 0.99985900
       434          2         14'957 0.99986000
       435          4         14'958 0.99986200
       436          1         14'999 0.99986250
       437          1         15'000 0.99986300
       438          2         15'041 0.99986400
       439          1         15'082 0.99986450
       440          5         15'083 0.99986700
       441          1         15'124 0.99986750
       442          3         15'125 0.99986900
       443          5         15'166 0.99987150
       444          1         15'167 0.99987200
       445          3         15'207 0.99987350
       446          2         15'208 0.99987450
       447          5         15'249 0.99987700
       448          2         15'291 0.99987800
       449          3         15'333 0.99987950
       450          2         15'374 0.99988050
       451          2         15'375 0.99988150
       452          3         15'416 0.99988300
       453          3         15'499 0.99988450
       454          3         15'500 0.99988600
       455          1         15'540 0.99988650
       456          5         15'541 0.99988900
       457          2         15'582 0.99989000
       458          4         15'583 0.99989200
       459          2         15'625 0.99989300
       460          4         15'666 0.99989500
       461          5         15'708 0.99989750
       462          1         15'749 0.99989800
       463          3         15'750 0.99989950
       464          6         15'791 0.99990250
       465          1         15'832 0.99990300
       466          4         15'833 0.99990500
       467          3         15'874 0.99990650
       468          4         15'916 0.99990850
       469          1         15'957 0.99990900
       470          3         15'958 0.99991050
       471          2         15'999 0.99991150
       472          7         16'041 0.99991500
       473          2         16'082 0.99991600
       474          5         16'083 0.99991850
       475          3         16'124 0.99992000
       476          2         16'125 0.99992100
       477          2         16'166 0.99992200
       478          2         16'208 0.99992300
       479          2         16'250 0.99992400
       480          2         16'291 0.99992500
       481          1         16'332 0.99992550
       482          1         16'374 0.99992600
       483          1         16'416 0.99992650
       484          1         16'499 0.99992700
       485          1         16'500 0.99992750
       486          3         16'625 0.99992900
       487          4         16'666 0.99993100
       488          1         16'667 0.99993150
       489          1         16'707 0.99993200
       490          1         16'750 0.99993250
       491          1         16'791 0.99993300
       492          1         16'832 0.99993350
       493          2         16'833 0.99993450
       494          2         16'874 0.99993550
       495          3         16'875 0.99993700
       496          3         16'916 0.99993850
       497          1         16'957 0.99993900
       498          1         16'958 0.99993950
       499          1         16'999 0.99994000
       500          2         17'041 0.99994100
       501          1         17'124 0.99994150
       502          1         17'165 0.99994200
       503          1         17'166 0.99994250
       504          2         17'249 0.99994350
       505          1         17'250 0.99994400
       506          2         17'291 0.99994500
       507          1         17'332 0.99994550
       508          2         17'333 0.99994650
       509          3         17'374 0.99994800
       510          1         17'416 0.99994850
       511          1         17'458 0.99994900
       512          2         17'499 0.99995000
       513          1         17'500 0.99995050
       514          1         17'541 0.99995100
       515          4         17'583 0.99995300
       516          2         17'624 0.99995400
       517          1         17'625 0.99995450
       518          1         17'666 0.99995500
       519          1         17'707 0.99995550
       520          1         17'749 0.99995600
       521          1         17'750 0.99995650
       522          3         17'791 0.99995800
       523          2         17'832 0.99995900
       524          3         17'833 0.99996050
       525          3         17'874 0.99996200
       526          1         17'916 0.99996250
       527          3         17'958 0.99996400
       528          2         17'999 0.99996500
       529          3         18'166 0.99996650
       530          1         18'207 0.99996700
       531          1         18'208 0.99996750
       532          1         18'249 0.99996800
       533          1         18'250 0.99996850
       534          1         18'291 0.99996900
       535          2         18'374 0.99997000
       536          1         18'375 0.99997050
       537          1         18'457 0.99997100
       538          2         18'499 0.99997200
       539          1         18'500 0.99997250
       540          1         18'582 0.99997300
       541          1         18'624 0.99997350
       542          1         18'625 0.99997400
       543          1         18'666 0.99997450
       544          1         18'667 0.99997500
       545          1         18'916 0.99997550
       546          2         18'958 0.99997650
       547          1         19'000 0.99997700
       548          1         19'040 0.99997750
       549          1         19'083 0.99997800
       550          4         19'166 0.99998000
       551          1         19'208 0.99998050
       552          1         19'291 0.99998100
       553          2         19'333 0.99998200
       554          1         19'374 0.99998250
       555          1         19'457 0.99998300
       556          1         19'583 0.99998350
       557          1         19'708 0.99998400
       558          1         19'750 0.99998450
       559          1         19'832 0.99998500
       560          1         19'916 0.99998550
       561          1         19'957 0.99998600
       562          1         19'999 0.99998650
       563          1         20'000 0.99998700
       564          1         20'124 0.99998750
       565          1         20'291 0.99998800
       566          2         20'499 0.99998900
       567          1         20'540 0.99998950
       568          1         20'541 0.99999000
       569          2         20'666 0.99999100
       570          1         21'415 0.99999150
       571          1         21'624 0.99999200
       572          1         21'874 0.99999250
       573          1         22'958 0.99999300
       574          1         23'166 0.99999350
       575          2         23'416 0.99999450
       576          1         24'166 0.99999500
       577          1         24'499 0.99999550
       578          2         24'582 0.99999650
       579          1         25'208 0.99999700
       580          1         25'290 0.99999750
       581          1         25'999 0.99999800
       582          1         34'373 0.99999850
       583          1         38'290 0.99999900
       584          1         47'290 0.99999950
       585          1         50'498 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        108'538 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :         97'830 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :         65'747 ns
(with min duration still included)


Overall:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 8'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        108'538 ns
(with min duration still included)

