./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_13_r363590M-g++_10_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  5.4945751e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :            100 ns
(with min duration still included)

target with min duration subtracted  :           -149 ns

Other information for reference:

small scale duration variability     :              1 ns
       530          1         18'416 0.99997600
       531          2         18'458 0.99997700
       532          2         18'499 0.99997800
       533          1         18'500 0.99997850
       534          1         18'541 0.99997900
       535          1         18'624 0.99997950
       536          2         18'625 0.99998050
       537          1         18'708 0.99998100
       538          1         18'833 0.99998150
       539          1         18'875 0.99998200
       540          1         18'916 0.99998250
       541          1         18'957 0.99998300
       542          1         19'166 0.99998350
       543          1         19'250 0.99998400
       544          2         19'333 0.99998500
       545          1         19'416 0.99998550
       546          1         19'458 0.99998600
       547          1         19'500 0.99998650
       548          1         19'625 0.99998700
       549          2         19'749 0.99998800
       550          1         19'750 0.99998850
       551          2         19'832 0.99998950
       552          1         19'874 0.99999000
       553          2         19'916 0.99999100
       554          1         19'957 0.99999150
       555          1         20'041 0.99999200
       556          1         20'249 0.99999250
       557          1         20'749 0.99999300
       558          1         21'333 0.99999350
       559          1         21'583 0.99999400
       560          1         21'833 0.99999450
       561          1         22'332 0.99999500
       562          1         22'333 0.99999550
       563          1         22'832 0.99999600
       564          1         23'875 0.99999650
       565          1         23'916 0.99999700
       566          1         23'999 0.99999750
       567          1         24'707 0.99999800
       568          1         30'874 0.99999850
       569          1         37'373 0.99999900
       570          1         37'790 0.99999950
       571          1         39'373 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        102'122 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        107'496 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :         54'248 ns
(with min duration still included)


Overall:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 8'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          4'200 ns
(with min duration still included)

target with min duration subtracted  :          3'951 ns

Other information for reference:

small scale duration variability     :             42 ns

largest observed duration            :        107'496 ns
(with min duration still included)

