./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-Fedora_33_64bit-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.3147276e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       250          2          6'556 0.99986750
       251          6          6'574 0.99987050
       252          2          6'592 0.99987150
       253          3          6'593 0.99987300
       254          4          6'611 0.99987500
       255          2          6'629 0.99987600
       256          5          6'630 0.99987850
       257          6          6'648 0.99988150
       258          1          6'666 0.99988200
       259          3          6'667 0.99988350
       260          4          6'685 0.99988550
       261          3          6'704 0.99988700
       262          9          6'722 0.99989150
       263          4          6'740 0.99989350
       264          7          6'741 0.99989700
       265          5          6'759 0.99989950
       266          4          6'778 0.99990150
       267          7          6'796 0.99990500
       268          1          6'814 0.99990550
       269          1          6'815 0.99990600
       270          3          6'833 0.99990750
       271          1          6'834 0.99990800
       272          1          6'851 0.99990850
       273          2          6'852 0.99990950
       274          1          6'870 0.99991000
       275          2          6'871 0.99991100
       276          2          6'888 0.99991200
       277          2          6'889 0.99991300
       278          1          6'907 0.99991350
       279          3          6'926 0.99991500
       280          1          6'945 0.99991550
       281          2          6'963 0.99991650
       282          2          7'000 0.99991750
       283          2          7'018 0.99991850
       284          1          7'019 0.99991900
       285          1          7'036 0.99991950
       286          3          7'037 0.99992100
       287          2          7'055 0.99992200
       288          1          7'073 0.99992250
       289          1          7'074 0.99992300
       290          1          7'129 0.99992350
       291          1          7'130 0.99992400
       292          2          7'148 0.99992500
       293          2          7'167 0.99992600
       294          1          7'185 0.99992650
       295          1          7'204 0.99992700
       296          1          7'241 0.99992750
       297          1          7'260 0.99992800
       298          1          7'278 0.99992850
       299          2          7'296 0.99992950
       300          1          7'389 0.99993000
       301          1          7'407 0.99993050
       302          1          7'463 0.99993100
       303          2          7'481 0.99993200
       304          1          7'574 0.99993250
       305          1          7'592 0.99993300
       306          1          7'593 0.99993350
       307          1          7'648 0.99993400
       308          1          7'759 0.99993450
       309          1          7'815 0.99993500
       310          1          7'888 0.99993550
       311          1          8'037 0.99993600
       312          1          8'074 0.99993650
       313          1          8'389 0.99993700
       314          1          8'444 0.99993750
       315          1          8'592 0.99993800
       316          1          8'722 0.99993850
       317          1          9'074 0.99993900
       318          1          9'203 0.99993950
       319          1          9'296 0.99994000
       320          1          9'741 0.99994050
       321          1         10'056 0.99994100
       322          1         10'203 0.99994150
       323          2         10'389 0.99994250
       324          1         10'519 0.99994300
       325          1         10'685 0.99994350
       326          1         11'147 0.99994400
       327          1         11'351 0.99994450
       328          1         11'444 0.99994500
       329          1         12'833 0.99994550
       330          1         13'499 0.99994600
       331          1         13'555 0.99994650
       332          1         13'796 0.99994700
       333          1         13'814 0.99994750
       334          1         13'981 0.99994800
       335          1         14'055 0.99994850
       336          1         14'222 0.99994900
       337          1         14'241 0.99994950
       338          2         14'314 0.99995050
       339          1         14'333 0.99995100
       340          1         14'426 0.99995150
       341          1         14'647 0.99995200
       342          1         14'703 0.99995250
       343          1         14'722 0.99995300
       344          1         14'907 0.99995350
       345          1         15'019 0.99995400
       346          1         15'074 0.99995450
       347          1         15'110 0.99995500
       348          1         15'407 0.99995550
       349          1         15'796 0.99995600
       350          1         16'740 0.99995650
       351          1         16'759 0.99995700
       352          1         16'796 0.99995750
       353          1         16'815 0.99995800
       354          1         16'944 0.99995850
       355          1         17'574 0.99995900
       356          1         17'629 0.99995950
       357          1         17'722 0.99996000
       358          1         17'833 0.99996050
       359          1         17'870 0.99996100
       360          1         17'889 0.99996150
       361          2         17'944 0.99996250
       362          1         17'981 0.99996300
       363          1         18'037 0.99996350
       364          1         18'055 0.99996400
       365          1         18'148 0.99996450
       366          1         18'166 0.99996500
       367          1         18'241 0.99996550
       368          1         18'259 0.99996600
       369          1         18'296 0.99996650
       370          1         18'370 0.99996700
       371          1         18'388 0.99996750
       372          1         18'444 0.99996800
       373          1         18'462 0.99996850
       374          1         18'481 0.99996900
       375          1         18'573 0.99996950
       376          1         18'611 0.99997000
       377          1         18'703 0.99997050
       378          3         18'740 0.99997200
       379          1         18'759 0.99997250
       380          1         18'852 0.99997300
       381          1         18'963 0.99997350
       382          1         19'240 0.99997400
       383          1         19'406 0.99997450
       384          1         19'611 0.99997500
       385          1         19'629 0.99997550
       386          2         20'129 0.99997650
       387          1         20'185 0.99997700
       388          2         20'277 0.99997800
       389          1         20'703 0.99997850
       390          1         21'314 0.99997900
       391          1         21'481 0.99997950
       392          1         21'647 0.99998000
       393          1         22'333 0.99998050
       394          1         22'407 0.99998100
       395          1         22'703 0.99998150
       396          1         23'352 0.99998200
       397          1         26'352 0.99998250
       398          1         26'610 0.99998300
       399          1         26'759 0.99998350
       400          1         27'869 0.99998400
       401          1         28'480 0.99998450
       402          2         29'258 0.99998550
       403          1         30'444 0.99998600
       404          1         31'203 0.99998650
       405          1         31'685 0.99998700
       406          1         34'925 0.99998750
       407          1         37'314 0.99998800
       408          1         37'389 0.99998850
       409          1         37'480 0.99998900
       410          1         39'073 0.99998950
       411          1         40'147 0.99999000
       412          1         41'018 0.99999050
       413          1         41'814 0.99999100
       414          1         42'795 0.99999150
       415          1         43'721 0.99999200
       416          1         44'388 0.99999250
       417          1         46'425 0.99999300
       418          1         50'147 0.99999350
       419          1         53'165 0.99999400
       420          1         62'517 0.99999450
       421          1         87'054 0.99999500
       422          1        105'646 0.99999550
       423          1        106'868 0.99999600
       424          1        108'645 0.99999650
       425          1        112'331 0.99999700
       426          1        113'238 0.99999750
       427          1        123'294 0.99999800
       428          1        137'738 0.99999850
       429          1        156'701 0.99999900
       430          1        189'015 0.99999950
       431          1        218'477 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :        104'498 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :        119'960 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :        123'294 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :        117'460 ns
(with min duration still included)


Overall:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 10'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :        218'477 ns
(with min duration still included)

