./cpp_clockinfo_main-HoneyComb-65536MiB-threads_16-LP64-Fedora_37_64bit-g++_12_O3lto-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.29


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 3'341'824'731'893 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 39 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 100 ns
(with min duration still included)

target with min duration subtracted  : 61 ns

Other information for reference:

small scale duration variability     : 1 ns

largest observed duration            : 38'039 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=


Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 243'591 ns
(with min duration still included)


Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 235'831 ns
(with min duration still included)


Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 109'956 ns
(with min duration still included)


Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 87'876 ns
(with min duration still included)


Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 130'195 ns
(with min duration still included)


Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 78'117 ns
(with min duration still included)


Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 63'758 ns
(with min duration still included)


Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 1'765'455 ns
(with min duration still included)


Overall:

Clock tick is slow relative to execution,
avoiding zero durations by spinning.

Of 34'000'000 near 'back to back now()' durations:

minimum duration                     : 0 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'000 ns
(with min duration still included)

target with min duration subtracted  : 4'000 ns

Other information for reference:

small scale duration variability     : 40 ns

largest observed duration            : 1'765'455 ns
(with min duration still included)

